Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

09:28:51 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:02 AM 100998   2955669    1.00    1.00    0.00    0.00    2.00     6  postgres
09:31:02 AM 100998   2955670    0.00    1.00    0.00    0.00    1.00     4  postgres
09:31:02 AM 100998   2955672    1.00    1.00    0.00    0.00    2.00     4  postgres
09:31:02 AM 100998   2955673    1.00    1.00    0.00    0.00    2.00     6  postgres
09:31:02 AM 100998   2955675    1.00    1.00    0.00    1.00    2.00     6  postgres
09:31:02 AM 100998   2955676    1.00    0.00    0.00    0.00    1.00     6  postgres
09:31:02 AM 100998   2955677    1.00    1.00    0.00    0.00    2.00     6  postgres
09:31:02 AM 100998   2955678    1.00    1.00    0.00    0.00    2.00     4  postgres
09:31:02 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:02 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:02 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:02 AM 100998   2955683    1.00    1.00    0.00    0.00    2.00     6  postgres
09:31:02 AM 100998   2955684    1.00    1.00    0.00    0.00    2.00     4  postgres
09:31:02 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:02 AM 100998   2955689    1.00    0.00    0.00    0.00    1.00     6  postgres
09:31:02 AM 100998   2955690    1.00    1.00    0.00    0.00    2.00     5  postgres
09:31:02 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:02 AM 100998   2955694    1.00    0.00    0.00    0.00    1.00     5  postgres

09:31:02 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:03 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:03 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:03 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:03 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:03 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:03 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:04 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:04 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:04 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:04 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:04 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:05 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:05 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:05 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:05 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:05 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:05 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:06 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:06 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:06 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:06 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:06 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:06 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:07 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:07 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:07 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:07 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:07 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:07 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:08 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:08 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:08 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:08 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:08 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:08 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:09 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:09 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955668    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955669    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955670    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955672    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955673    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955675    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955676    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955677    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955678    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955679    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955680    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955681    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955683    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955684    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955685    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:09 AM 100998   2955689    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955690    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:09 AM 100998   2955693    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:09 AM 100998   2955694    0.00    0.00    0.00    0.00    0.00     5  postgres

09:31:09 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:31:10 AM 100998   2954719    0.00    0.00    0.00    0.00    0.00     4  postgres
09:31:10 AM 100998   2954720    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:10 AM 100998   2954722    0.00    0.00    0.00    0.00    0.00     6  postgres
09:31:10 AM 100998   2954723    0.00    0.00    0.00    0.00    0.00     5  postgres
09:31:10 AM 100998   2955646    0.00    0.00    0.00    0.00    0.00     4  postgres
